date,symbol,target_price,recommender,target_reached,reached_days
2026/5/22,6209,120.00,Donthitjisoo,false,
2026/5/15,6290,300.00,Donthitjisoo,false,
2026/5/15,6862,210.00,Donthitjisoo,false,
2026/5/15,3665,3000.00,Donthitjisoo,false,
2026/5/15,3008,7000.00,Donthitjisoo,false,
2026/5/14,5328,35.00,Donthitjisoo,false,
2026/5/14,3090,160.00,Donthitjisoo,false,
2026/5/12,2472,300.00,Donthitjisoo,false,
2026/5/12,5269,1800.00,Donthitjisoo,false,
2026/5/12,7769,8000.00,Donthitjisoo,false,
2026/5/9,8299,3000.00,Gaeulisautumn,false,
2026/5/9,5289,2000.00,Gaeulisautumn,false,
2026/5/9,3376,240.00,Donthitjisoo,false,
2026/5/9,2454,5000.00,Donthitjisoo,true,3
2026/5/6,2395,520.00,Donthitjisoo,true,1
2026/5/6,3443,6666.00,Donthitjisoo,true,6
2026/4/27,3443,4600.00,Donthitjisoo,true,5
2026/4/27,4967,1888.00,Gaeulisautumn,true,13
2026/4/27,2330,2450.00,Donthitjisoo,true,13
2026/4/27,8271,1000.00,Gaeulisautumn,true,13
2026/4/27,5904,630.00,Gaeulisautumn,true,13
2026/4/27,6187,1500.00,chouyk,true,13
2026/4/25,6789,800.00,Gaeulisautumn,true,13
2026/4/25,6449,185.00,Gaeulisautumn,true,9
2026/4/24,4958,420.00,Donthitjisoo,true,4
2026/4/23,2330,2330.00,Donthitjisoo,true,2
2026/4/23,2308,2310.00,Donthitjisoo,true,3
2026/4/23,5340,118.00,Donthitjisoo,true,3
2026/4/23,4979,700.00,Donthitjisoo,true,3